梅州3频道,#genre#

港台频道,#genre#

福建频道,#genre#
CCTV1-综合,http://111.8.242.151:9902/tsfile/live/0001_1.m3u8
CCTV2-财经,http://111.8.242.151:9902/tsfile/live/0002_1.m3u8
CCTV3-综艺,http://111.8.242.151:9902/tsfile/live/0003_1.m3u8
CCTV4-国际,http://111.8.242.151:9902/tsfile/live/0004_1.m3u8
CCTV5-体育,http://111.8.242.151:9902/tsfile/live/0005_1.m3u8
CCTV5+,http://111.8.242.151:9902/tsfile/live/0017_1.m3u8
CCTV6-电影,http://111.8.242.151:9902/tsfile/live/0006_1.m3u8
CCTV7-军农,http://111.8.242.151:9902/tsfile/live/0007_1.m3u8
CCTV8-电视剧,http://111.8.242.151:9902/tsfile/live/0008_1.m3u8
CCTV9-纪录,http://111.8.242.151:9902/tsfile/live/0009_1.m3u8
CCTV10-科教,http://111.8.242.151:9902/tsfile/live/0010_1.m3u8
CCTV11-戏曲,http://111.8.242.151:9902/tsfile/live/0011_1.m3u8
CCTV12-社会与法,http://111.8.242.151:9902/tsfile/live/0012_1.m3u8
CCTV13-新闻,http://111.8.242.151:9902/tsfile/live/0013_1.m3u8
CCTV14-少儿,http://111.8.242.151:9902/tsfile/live/0014_1.m3u8
CCTV15-音乐,http://111.8.242.151:9902/tsfile/live/0015_1.m3u8

湖南卫视,http://111.8.242.151:9902/tsfile/live/1009_1.m3u8
湖南经视,http://111.8.242.151:9902/tsfile/live/1010_1.m3u8
湖南都市,http://111.8.242.151:9902/tsfile/live/1011_1.m3u8
潇湘电影,http://111.8.242.151:9902/tsfile/live/1012_1.m3u8
湖南电视剧,http://111.8.242.151:9902/tsfile/live/1013_1.m3u8
湖南爱晚,http://111.8.242.151:9902/tsfile/live/1014_1.m3u8
湖南教育,http://111.8.242.151:9902/tsfile/live/1015_1.m3u8
湖南娱乐,http://111.8.242.151:9902/tsfile/live/1016_1.m3u8
湖南国际,http://111.8.242.151:9902/tsfile/live/1002_1.m3u8
湖南导视,http://111.8.242.151:9902/tsfile/live/1017_1.m3u8
怀化公共,http://111.8.242.151:9902/tsfile/live/1004_1.m3u8
溆浦时政,http://111.8.242.151:9902/tsfile/live/1005_1.m3u8
怀化综合,http://111.8.242.151:9902/tsfile/live/1006_1.m3u8

河南卫视,http://111.8.242.151:9902/tsfile/live/0120_1.m3u8
四川卫视,http://111.8.242.151:9902/tsfile/live/0137_1.m3u8
安徽卫视,http://111.8.242.151:9902/tsfile/live/0124_1.m3u8
湖北卫视,http://111.8.242.151:9902/tsfile/live/0118_1.m3u8
河北卫视,http://111.8.242.151:9902/tsfile/live/0130_1.m3u8
辽宁卫视,http://111.8.242.151:9902/tsfile/live/0131_1.m3u8
西藏卫视,http://111.8.242.151:9902/tsfile/live/0004_2.m3u8
吉林卫视,http://111.8.242.151:9902/tsfile/live/1018_1.m3u8
广东卫视,http://111.8.242.151:9902/tsfile/live/0126_1.m3u8
贵州卫视,http://111.8.242.151:9902/tsfile/live/0141_1.m3u8
浙江卫视,http://111.8.242.151:9902/tsfile/live/0139_1.m3u8
江西卫视,http://111.8.242.151:9902/tsfile/live/1019_1.m3u8
兵团卫视,http://111.8.242.151:9902/tsfile/live/1020_1.m3u8
北京卫视,http://111.8.242.151:9902/tsfile/live/0127_1.m3u8
深圳卫视,http://111.8.242.151:9902/tsfile/live/1021_1.m3u8
东方卫视,http://111.8.242.151:9902/tsfile/live/0125_1.m3u8
山东卫视,http://111.8.242.151:9902/tsfile/live/0122_1.m3u8
黑龙江卫视,http://111.8.242.151:9902/tsfile/live/0135_1.m3u8
天津卫视,http://111.8.242.151:9902/tsfile/live/0143_1.m3u8
江苏卫视,http://111.8.242.151:9902/tsfile/live/0116_1.m3u8
内蒙古卫视,http://111.8.242.151:9902/tsfile/live/1000_1.m3u8
重庆卫视,http://111.8.242.151:9902/tsfile/live/0110_1.m3u8
东南卫视,http://111.8.242.151:9902/tsfile/live/1022_1.m3u8
陕西卫视,http://111.8.242.151:9902/tsfile/live/1023_1.m3u8
新疆卫视,http://111.8.242.151:9902/tsfile/live/faacts/1026_1.m3u8
宁夏卫视,http://111.8.242.151:9902/tsfile/live/1027_1.m3u8
旅游卫视,http://111.8.242.151:9902/tsfile/live/1028_1.m3u8
青海卫视,http://111.8.242.151:9902/tsfile/live/1030_1.m3u8
吉林卫视,http://111.8.242.151:9902/tsfile/live/1032_1.m3u8

CHC高清电影,http://111.8.242.151:9902/tsfile/live/0140_1.m3u8
都市剧场,http://111.8.242.151:9902/tsfile/live/1038_1.m3u8
欢笑剧场,http://111.8.242.151:9902/tsfile/live/1040_1.m3u8
卡酷动画,http://111.8.242.151:9902/tsfile/live/1033_1.m3u8
金鹰卡通,http://111.8.242.151:9902/tsfile/live/1031_1.m3u8
动漫剧场,http://111.8.242.151:9902/tsfile/live/faacts/1051_1.m3u8
山东教育,http://111.8.242.151:9902/tsfile/live/1029_1.m3u8
全纪实,http://111.8.242.151:9902/tsfile/live/1048_1.m3u8
茶频道,http://111.8.242.151:9902/tsfile/live/0115_1.m3u8
魅力足球,http://111.8.242.151:9902/tsfile/live/1037_1.m3u8
劲爆体育,http://111.8.242.151:9902/tsfile/live/1035_1.m3u8
先锋乒羽,http://111.8.242.151:9902/tsfile/live/1042_1.m3u8
快乐垂钓,http://111.8.242.151:9902/tsfile/live/1047_1.m3u8
书画频道,http://111.8.242.151:9902/tsfile/live/1044_1.m3u8


广东频道,#genre#
CCTV1,http://120.84.121.141:808/hls/101/index.m3u8
CCTV2,http://120.84.121.141:808/hls/102/index.m3u8
CCTV3,http://120.84.121.141:808/hls/103/index.m3u8
CCTV4,http://120.84.121.141:808/hls/4/index.m3u8
CCTV5,http://120.84.121.141:808/hls/5/index.m3u8
CCTV5+,http://120.84.121.141:808/hls/116/index.m3u8
CCTV6,http://120.84.121.141:808/hls/106/index.m3u8
CCTV7,http://120.84.121.141:808/hls/107/index.m3u8
CCTV8,http://120.84.121.141:808/hls/8/index.m3u8
CCTV9,http://120.84.121.141:808/hls/109/index.m3u8
CCTV10,http://120.84.121.141:808/hls/110/index.m3u8
CCTV11,http://120.84.121.141:808/hls/111/index.m3u8
CCTV12,http://120.84.121.141:808/hls/112/index.m3u8
CCTV13,http://120.84.121.141:808/hls/113/index.m3u8
CCTV14,http://120.84.121.141:808/hls/114/index.m3u8
CCTV15,http://120.84.121.141:808/hls/115/index.m3u8
CCTV17,http://120.84.121.141:808/hls/117/index.m3u8
东森电影台,http://120.84.121.141:808/hls/32/index.m3u8
东森洋片台,http://120.84.121.141:808/hls/33/index.m3u8
凤凰香港,http://120.84.121.141:808/hls/81/index.m3u8
凤凰中文,http://120.84.121.141:808/hls/29/index.m3u8
凤凰资讯,http://120.84.121.141:808/hls/28/index.m3u8
龙祥电影,http://120.84.121.141:808/hls/35/index.m3u8
TVB1本港台,http://120.84.121.141:808/hls/86/index.m3u8
TVB2翡翠,http://120.84.121.141:808/hls/25/index.m3u8
TVB3明珠,http://120.84.121.141:808/hls/26/index.m3u8
广东卫视,http://120.84.121.141:808/hls/121/index.m3u8
大湾区卫视,http://120.84.121.141:808/hls/119/index.m3u8
深圳卫视,http://120.84.121.141:808/hls/125/index.m3u8
湖南卫视,http://120.84.121.141:808/hls/126/index.m3u8
江苏卫视,http://120.84.121.141:808/hls/130/index.m3u8
北京卫视,http://120.84.121.141:808/hls/153/index.m3u8
江西卫视,http://120.84.121.141:808/hls/152/index.m3u8
浙江卫视,http://120.84.121.141:808/hls/129/index.m3u8
安徽卫视,http://120.84.121.141:808/hls/131/index.m3u8
湖北卫视,http://120.84.121.141:808/hls/128/index.m3u8
四川卫视,http://120.84.121.141:808/hls/165/index.m3u8
山东卫视,http://120.84.121.141:808/hls/132/index.m3u8
辽宁卫视,http://120.84.121.141:808/hls/133/index.m3u8
河南卫视,http://120.84.121.141:808/hls/134/index.m3u8
广西卫视,http://120.84.121.141:808/hls/167/index.m3u8
星空卫视,http://120.84.121.141:808/hls/79/index.m3u8
海南卫视,http://120.84.121.141:808/hls/154/index.m3u8
陕西卫视,http://120.84.121.141:808/hls/137/index.m3u8
黑龙江卫视,http://120.84.121.141:808/hls/139/index.m3u8
福建东南卫视,http://120.84.121.141:808/hls/141/index.m3u8
